City,Units permitted (2015-2019),Mean underproduction,Units built to units claimed ratio on matched sites,RHNA Success,Units permitted / claimed capacity,P(inventory) for homes built,P(inventory) for projects built,P(dev) for nonvacant sites,P(dev) for vacant sites,P(dev) for inventory,# nonvacant matches,# vacant matches,# matches
Alameda,1161.0,0.6489505785713121,0.5087108013937283,0.67382472431805,0.5171492204899777,0.5030146425495263,0.05263157894736842,0.2857142857142857,0.2727272727272727,0.2777777777777778,2 / 7,3 / 11,5 / 18
Albany,258.0,0.5416666666666666,0.9411764705882353,0.7701492537313432,0.6339066339066339,0.6821705426356589,0.02531645569620253,0.058823529411764705,0.125,0.04878048780487805,1 / 17,1 / 8,2 / 41
American Canyon,382.0,,,0.9744897959183674,0.6571025561633467,0.0,0.0,0.0,0.0,0.0,0 / 5,0 / 25,0 / 30
Antioch,607.0,,,0.4191988950276243,0.33169398907103825,0.0,0.0,0.0,0.0,0.0,0 / 6,0 / 3,0 / 9
Atherton,101.0,0.8333333333333334,0.75,1.086021505376344,0.5401069518716578,0.0297029702970297,0.029411764705882353,0.041666666666666664,,0.041666666666666664,3 / 72,0 / 0,3 / 72
Belmont,149.0,1.0035211267605635,1.0256410256410255,0.31837606837606836,0.2933070866141732,0.7516778523489933,0.1956521739130435,0.09090909090909091,0.1320754716981132,0.07964601769911504,1 / 11,7 / 53,9 / 113
Belvedere,4.0,,,0.25,0.23529411764705882,0.0,0.0,,0.0,0.0,0 / 0,0 / 17,0 / 17
Benicia,22.0,0.7790083374502478,0.7894736842105263,0.0672782874617737,0.03669541140560105,0.4090909090909091,0.4090909090909091,,0.05102040816326531,0.050505050505050504,0 / 0,5 / 98,5 / 99
Berkeley,1594.0,1.6867709260908281,1.7953709712308024,0.5386955052382562,0.2967226480914069,0.052070263488080304,0.021341463414634148,0.011976047904191617,0.012658227848101266,0.012376237623762377,2 / 167,3 / 237,5 / 404
Brentwood,2312.0,1.6654525162337661,1.2153846153846153,3.042105263157895,2.1348107109879964,0.1245674740484429,0.12620508326029797,0.04,0.07878787878787878,0.07368421052631578,1 / 25,13 / 165,14 / 190
Brisbane,41.0,1.438235294117647,0.9310344827586207,0.4939759036144578,0.05401844532279315,0.6585365853658537,0.7941176470588235,0.03278688524590164,0.06140350877192982,0.0405727923627685,10 / 305,7 / 114,17 / 419
Burlingame,474.0,4.027466555183947,2.824324324324324,0.5492468134414832,0.4121739130434783,0.8924050632911392,0.10909090909090909,0.05405405405405406,,0.06578947368421052,4 / 74,0 / 0,5 / 76
Calistoga,86.0,,,3.185185185185185,0.20187793427230047,0.011627906976744186,0.02631578947368421,0.0,0.0,0.03125,0 / 2,0 / 15,1 / 32
Campbell,413.0,2.375377859477124,2.1755725190839694,0.44265809217577706,0.3619631901840491,0.6900726392251816,0.2,0.09174311926605505,0.16666666666666666,0.09448818897637795,10 / 109,2 / 12,12 / 127
Clayton,10.0,0.34469696969696967,0.1,0.07092198581560284,0.03816793893129771,0.5,0.45454545454545453,0.18181818181818182,0.0,0.08695652173913043,2 / 11,0 / 8,2 / 23
Cloverdale,114.0,1.0442028985507246,0.875,0.5402843601895735,0.20577617328519857,0.30701754385964913,0.10256410256410256,0.09090909090909091,0.10344827586206896,0.06451612903225806,1 / 11,3 / 29,4 / 62
Colma,75.0,,,1.271186440677966,2.8846153846153846,0.0,0.0,,,0.0,0 / 0,0 / 0,0 / 1
Concord,225.0,0.7060606060606059,0.8,0.06469235192639448,0.05660377358490566,0.1288888888888889,0.24528301886792453,0.010416666666666666,0.1282051282051282,0.06504065040650407,1 / 96,10 / 78,24 / 369
Corte Madera,33.0,1.0,1.0,0.4583333333333333,0.5409836065573771,0.5454545454545454,0.16666666666666666,0.0,0.3,0.2727272727272727,0 / 1,3 / 10,3 / 11
Cotati,80.0,,,0.583941605839416,0.09019165727170236,0.4375,0.5072463768115942,0.0,0.0,0.4117647058823529,0 / 7,0 / 31,35 / 85
Cupertino,263.0,1.7272727272727273,1.7272727272727273,0.24718045112781956,0.16540880503144653,0.07224334600760456,0.009433962264150943,,,0.03571428571428571,0 / 0,0 / 0,1 / 28
